GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-jocluis,cs.ing.software.practica,Libro,3,24,0,0,1,9,1,4,1,4
practica-calificada-1-jocluis,cs.ing.software.practica,Oliver,20,121,3,5,3,22,2,8,0,6
practica-calificada-1-jocluis,cs.ing.software.practica,Estudiante,0,38,0,0,0,13,0,7,0,7
practica-calificada-1-jocluis,cs.ing.software.practica,Autor,6,9,0,0,2,4,2,1,2,1
